Local Date/Time	Relative Time	valve-i:angle [degrees]
06/15/2022 13:23:01	00:00:00.001	60.000
06/15/2022 13:23:02	00:00:01.620	60.000
06/15/2022 13:23:03	00:00:02.244	60.000
06/15/2022 13:23:04	00:00:03.635	60.000
06/15/2022 13:23:05	00:00:04.637	60.000
06/15/2022 13:23:06	00:00:05.639	60.000
06/15/2022 13:23:07	00:00:06.650	60.000
06/15/2022 13:23:08	00:00:07.650	60.000
06/15/2022 13:23:09	00:00:08.651	60.000
06/15/2022 13:23:10	00:00:09.666	60.000
06/15/2022 13:23:11	00:00:10.669	60.000
06/15/2022 13:23:12	00:00:11.668	60.000
06/15/2022 13:23:13	00:00:12.682	60.000
06/15/2022 13:23:14	00:00:13.682	60.000
06/15/2022 13:23:15	00:00:14.683	60.000
06/15/2022 13:23:16	00:00:15.683	60.000
06/15/2022 13:23:17	00:00:16.700	60.000
06/15/2022 13:23:18	00:00:17.712	60.000
06/15/2022 13:23:19	00:00:18.717	60.000
06/15/2022 13:23:20	00:00:19.728	60.000
06/15/2022 13:23:21	00:00:20.729	60.000
06/15/2022 13:23:22	00:00:21.731	60.000
06/15/2022 13:23:23	00:00:22.747	60.000
06/15/2022 13:23:24	00:00:23.761	60.000
06/15/2022 13:23:25	00:00:24.761	60.000
06/15/2022 13:23:26	00:00:25.763	60.000
06/15/2022 13:23:27	00:00:26.775	60.000
06/15/2022 13:23:28	00:00:27.776	60.000
06/15/2022 13:23:29	00:00:28.777	60.000
06/15/2022 13:23:30	00:00:29.782	60.000
06/15/2022 13:23:31	00:00:30.791	60.000
06/15/2022 13:23:32	00:00:31.791	60.000
06/15/2022 13:23:33	00:00:32.793	60.000
06/15/2022 13:23:35	00:00:33.953	60.000
06/15/2022 13:23:35	00:00:34.808	60.000
06/15/2022 13:23:36	00:00:35.808	60.000
06/15/2022 13:23:37	00:00:36.822	60.000
06/15/2022 13:23:38	00:00:37.823	60.000
06/15/2022 13:23:39	00:00:38.823	60.000
06/15/2022 13:23:40	00:00:39.825	60.000
06/15/2022 13:23:41	00:00:40.839	60.000
06/15/2022 13:23:42	00:00:41.839	60.000
06/15/2022 13:23:43	00:00:42.840	60.000
06/15/2022 13:23:44	00:00:43.841	60.000
06/15/2022 13:23:45	00:00:44.852	60.000
06/15/2022 13:23:46	00:00:45.854	60.000
06/15/2022 13:23:47	00:00:46.854	60.000
06/15/2022 13:23:48	00:00:47.870	60.000
06/15/2022 13:23:49	00:00:48.885	60.000
06/15/2022 13:23:50	00:00:49.886	60.000
06/15/2022 13:23:51	00:00:50.888	60.000
06/15/2022 13:23:52	00:00:51.888	60.000
06/15/2022 13:23:54	00:00:52.920	60.000
06/15/2022 13:23:55	00:00:53.918	60.000
06/15/2022 13:23:56	00:00:54.932	60.000
06/15/2022 13:23:57	00:00:55.933	60.000
06/15/2022 13:23:58	00:00:56.933	60.000
06/15/2022 13:23:59	00:00:57.935	60.000
06/15/2022 13:24:00	00:00:58.934	60.000
06/15/2022 13:24:01	00:00:59.937	60.000
06/15/2022 13:24:02	00:01:00.937	60.000
06/15/2022 13:24:03	00:01:01.947	60.000
06/15/2022 13:24:04	00:01:02.946	60.000
06/15/2022 13:24:05	00:01:03.947	60.000
06/15/2022 13:24:06	00:01:04.949	60.000
06/15/2022 13:24:07	00:01:05.962	60.000
06/15/2022 13:24:08	00:01:06.964	60.000
06/15/2022 13:24:09	00:01:07.979	60.000
06/15/2022 13:24:10	00:01:08.994	60.000
06/15/2022 13:24:11	00:01:10.009	60.000
06/15/2022 13:24:12	00:01:11.010	60.000
06/15/2022 13:24:13	00:01:12.011	60.000
06/15/2022 13:24:14	00:01:13.012	60.000
06/15/2022 13:24:15	00:01:14.013	60.000
06/15/2022 13:24:16	00:01:15.029	60.000
06/15/2022 13:24:17	00:01:16.043	60.000
06/15/2022 13:24:18	00:01:17.044	60.000
06/15/2022 13:24:19	00:01:18.044	60.000
06/15/2022 13:24:20	00:01:19.046	60.000
06/15/2022 13:24:21	00:01:20.059	60.000
06/15/2022 13:24:22	00:01:21.072	60.000
06/15/2022 13:24:23	00:01:22.073	60.000
06/15/2022 13:24:24	00:01:23.074	60.000
06/15/2022 13:24:25	00:01:24.075	60.000
06/15/2022 13:24:26	00:01:25.076	60.000
06/15/2022 13:24:27	00:01:26.090	60.000
06/15/2022 13:24:28	00:01:27.089	60.000
06/15/2022 13:24:29	00:01:28.093	60.000
06/15/2022 13:24:30	00:01:29.091	60.000
06/15/2022 13:24:31	00:01:30.103	60.000
06/15/2022 13:24:32	00:01:31.104	60.000
06/15/2022 13:24:33	00:01:32.105	60.000
06/15/2022 13:24:34	00:01:33.107	60.000
06/15/2022 13:24:35	00:01:34.120	60.000
06/15/2022 13:24:36	00:01:35.134	60.000
06/15/2022 13:24:37	00:01:36.134	60.000
06/15/2022 13:24:38	00:01:37.135	60.000
06/15/2022 13:24:39	00:01:38.134	60.000
06/15/2022 13:24:40	00:01:39.136	60.000
06/15/2022 13:24:41	00:01:40.137	60.000
06/15/2022 13:24:42	00:01:41.150	60.000
06/15/2022 13:24:43	00:01:42.152	60.000
06/15/2022 13:24:44	00:01:42.152	60.000
06/15/2022 13:24:44	00:01:42.670	0.000
06/15/2022 13:24:45	00:01:44.166	0.000
06/15/2022 13:24:46	00:01:45.168	0.000
06/15/2022 13:24:47	00:01:46.172	0.000
06/15/2022 13:24:48	00:01:47.170	0.000
06/15/2022 13:24:49	00:01:48.182	0.000
06/15/2022 13:24:50	00:01:49.182	0.000
06/15/2022 13:24:51	00:01:50.199	0.000
06/15/2022 13:24:52	00:01:51.213	0.000
06/15/2022 13:24:53	00:01:52.229	0.000
06/15/2022 13:24:54	00:01:53.244	0.000
06/15/2022 13:24:55	00:01:53.244	0.000
06/15/2022 13:24:55	00:01:53.408	60.000
06/15/2022 13:24:56	00:01:55.260	60.000
06/15/2022 13:24:57	00:01:56.261	60.000
06/15/2022 13:24:58	00:01:57.276	60.000
06/15/2022 13:24:59	00:01:58.276	60.000
06/15/2022 13:25:00	00:01:59.278	60.000
06/15/2022 13:25:01	00:02:00.293	60.000
06/15/2022 13:25:02	00:02:01.292	60.000
06/15/2022 13:25:03	00:02:02.306	60.000
06/15/2022 13:25:04	00:02:03.306	60.000
06/15/2022 13:25:05	00:02:04.306	60.000
06/15/2022 13:25:06	00:02:05.322	60.000
06/15/2022 13:25:07	00:02:06.337	60.000
06/15/2022 13:25:08	00:02:07.353	60.000
06/15/2022 13:25:09	00:02:08.369	60.000
06/15/2022 13:25:10	00:02:09.384	60.000
06/15/2022 13:25:11	00:02:10.383	60.000
06/15/2022 13:25:12	00:02:11.384	60.000
06/15/2022 13:25:13	00:02:12.386	60.000
06/15/2022 13:25:14	00:02:13.386	60.000
